NSYNC,It's Gonna Be Me
All-4-One,I Swear
B2K,"Bump, Bump, Bump (ft. P. Diddy)"
Blackstreet,No Diggity (ft. Dr. Dre)
Boyz II Men,End of the Road
Color Me Badd,I Adore Mi Amor
Hanson,MMMBop
Hi-Five,I Like The Way
New Kids On The Block,I'll Be Loving You (Forever)
SILK,Freak Me
98 Degrees,Give me Just One Night
Backstreet Boys,Quit Playing Games with my Heart
One Direction,Best Song Ever
Shai,If I Ever Fall in Love
Soul for Real,Candy Rain
U.N.V.,Something's Goin' On
Bell Biv DeVoe,Poison
Jagged Edge,Where The Party At
LFO,Summer Girls
New Edition,Hit Me Off
O-Town,All or Nothing
The Wanted,Glad You Came
112,Peaches And Cream
Jodeci,Lately
Immature,Never Lie
Jonas Brothers,Burnin' Up
No Mercy,Where Do You Go
Nine Days,Absolutely (Story of a Girl)
Take That,Back for Good
Az Yet,Hard to Say I'm Sorry (ft. Peter Cetera)
5ive,When The Lights Go Out
Musical Youth,Pass the Dutchie
Perfect Gentlemen,Ooh La La
The Click Five,Just The Girl
BBMak,Back Here
Ideal,Get Gone
The Boys,Dial My Heart
5 Seconds of Summer,Amnesia
Westlife,Swear it Again
soulDecision,Faded
IMx,Stay The Night
Son by Four,Purest of Pain (A Puro Dolor)
Brother Beyond,The Girl I Used to Know
Nu Flavor,Heaven
Playa,Cheers 2 U
Guys Next Door,I've Been Waiting For You
Troop,All I Do Is Think Of You
Menudo,Hold Me
BTS,DNA
Youngstown,I'll Be Your Everything
Big Time Rush,Boyfriend (ft. Snoop Dogg)
Mindless Behavior,Mrs. Right
Day26,Got Me Going
2gether,The Hardest Part of Breaking Up
Aventura,Ella Y Yo
